,BHK,Rent,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,floor,area
1212,2.0,67500,750,Carpet Area,Mumbai,Furnished,Bachelors,2.0,6,other
1213,2.0,55000,850,Carpet Area,Mumbai,Furnished,Both,2.0,6,other
1214,1.0,30000,350,Carpet Area,Mumbai,Unfurnished,Both,1.0,5,Prabhadevi
1215,1.0,20000,300,Carpet Area,Mumbai,Semi-Furnished,Both,1.0,2,Sundar Nagar
1216,1.0,67500,695,Carpet Area,Mumbai,Furnished,Both,2.0,2,other
1217,1.0,40000,415,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1218,1.0,21000,450,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,3,other
1219,3.0,43000,850,Carpet Area,Mumbai,Unfurnished,Family,3.0,6,other
1220,2.0,58000,805,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,Auris Serenity
1221,2.0,67500,700,Carpet Area,Mumbai,Furnished,Both,2.0,6,Bandra West
1222,3.0,67500,1800,Carpet Area,Mumbai,Furnished,Family,3.5,6,JVPD Scheme
1223,2.0,46000,669,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,6,other
1224,1.0,6500,325,Carpet Area,Mumbai,Unfurnished,Family,1.0,6,other
1225,1.0,21000,600,Super Area,Mumbai,Furnished,Both,1.0,5,other
1226,2.0,46000,725,Carpet Area,Mumbai,Unfurnished,Both,2.0,0,Chembur
1227,2.0,60000,750,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,5,other
1228,3.0,65000,1050,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3.0,6,Hillcrest
1229,2.0,15000,600,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1230,2.0,67500,1000,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Bandra West
1231,3.0,67500,1110,Carpet Area,Mumbai,Furnished,Both,3.0,6,other
1232,2.0,62000,650,Carpet Area,Mumbai,Unfurnished,Family,2.0,6,other
1233,3.0,67500,1100,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,Santacruz West
1234,3.0,67500,1100,Carpet Area,Mumbai,Unfurnished,Both,3.0,6,other
1235,3.0,67500,1110,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,other
1236,3.0,55000,999,Carpet Area,Mumbai,Semi-Furnished,Family,2.0,6,other
1237,3.0,67500,1000,Carpet Area,Mumbai,Furnished,Both,3.0,2,Santacruz West
1238,4.0,67500,2175,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,Seven Bungalows
1239,3.0,67500,1256,Carpet Area,Mumbai,Furnished,Family,3.0,6,other
1240,2.0,67500,750,Carpet Area,Mumbai,Semi-Furnished,Family,2.0,6,Hiranandani Castle Rock
1241,3.0,67500,889,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Oberoi Splendor
1242,2.0,67500,750,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1243,1.0,13000,385,Carpet Area,Mumbai,Unfurnished,Family,1.0,6,other
1244,4.0,67500,1454,Carpet Area,Mumbai,Unfurnished,Both,3.5,5,diamond garden
1245,1.0,35000,480,Carpet Area,Mumbai,Semi-Furnished,Family,2.0,1,Seven Bungalows
1246,2.0,67500,660,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Hiranandani Castle Rock
1247,3.0,67500,1600,Carpet Area,Mumbai,Furnished,Both,3.0,6,Bandra West
1248,1.0,26000,434,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,5,other
1249,3.0,67500,1121,Carpet Area,Mumbai,Unfurnished,Both,3.0,6,other
1250,1.0,8000,620,Super Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1251,3.0,67500,937,Carpet Area,Mumbai,Furnished,Family,2.0,6,Runwal Elegante
1252,1.0,52000,470,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Godrej The Trees
1253,1.0,13000,410,Carpet Area,Mumbai,Unfurnished,Family,1.0,2,Mira Road East
1254,3.0,45000,850,Carpet Area,Mumbai,Unfurnished,Family,3.0,5,Mulund West
1255,3.0,67500,1500,Carpet Area,Mumbai,Furnished,Both,3.5,6,other
1256,2.0,63000,888,Carpet Area,Mumbai,Furnished,Both,2.0,6,Shapoorji Pallonji Vicinia
1257,1.0,7500,380,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,3,other
1258,1.0,30000,360,Carpet Area,Mumbai,Unfurnished,Both,1.0,4,other
1259,1.0,28500,565,Super Area,Mumbai,Furnished,Both,2.0,1,other
1260,3.0,67500,2000,Super Area,Mumbai,Semi-Furnished,Both,3.5,6,Auris Serenity
1261,4.0,67500,1358,Carpet Area,Mumbai,Semi-Furnished,Family,3.5,6,other
1262,2.0,38000,661,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Runwal Forests
1263,1.0,26000,450,Carpet Area,Mumbai,Unfurnished,Family,2.0,6,other
1264,3.0,67500,1300,Carpet Area,Mumbai,Unfurnished,Bachelors,3.0,6,Goregaon West
1265,2.0,41000,600,Carpet Area,Mumbai,Furnished,Family,2.0,4,other
1266,2.0,27000,900,Super Area,Mumbai,Semi-Furnished,Both,3.0,0,other
1267,1.0,53000,379,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1.0,6,Hiranandani Regent Hill
1268,2.0,65000,805,Carpet Area,Mumbai,Semi-Furnished,Family,3.0,6,Auris Serenity
1269,1.0,67500,650,Super Area,Mumbai,Furnished,Both,2.0,3,Malabar Hill
1270,1.0,6000,500,Super Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1271,1.0,43000,480,Carpet Area,Mumbai,Furnished,Family,2.0,5,Seven Bungalows
1272,2.0,65000,550,Super Area,Mumbai,Semi-Furnished,Both,2.0,1,other
1273,3.0,67500,1600,Carpet Area,Mumbai,Furnished,Both,3.0,5,Bandra West
1274,3.0,67500,1400,Carpet Area,Mumbai,Semi-Furnished,Family,2.0,4,other
1275,3.0,67500,1500,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Indiabulls Blu
1276,3.0,65000,1050,Carpet Area,Mumbai,Unfurnished,Bachelors,3.0,3,other
1277,3.0,67500,920,Carpet Area,Mumbai,Unfurnished,Family,3.0,4,Ghatkopar East
1278,1.0,40000,450,Carpet Area,Mumbai,Semi-Furnished,Both,1.0,6,Ajmera Bhakti Park
1279,1.0,23000,440,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1.0,0,other
1280,3.0,55000,932,Super Area,Mumbai,Unfurnished,Both,3.0,3,Ghatkopar West
1281,1.0,15000,270,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,6,other
1282,1.0,52000,379,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2.0,6,Hiranandani Regent Hill
1283,2.0,13000,582,Carpet Area,Mumbai,Furnished,Family,2.0,5,other
1284,2.0,67500,800,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1285,1.0,25000,444,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1286,1.0,21000,428,Carpet Area,Mumbai,Unfurnished,Both,1.0,6,Godrej Tranquil
1287,4.5,67500,1880,Carpet Area,Mumbai,Furnished,Family,3.5,6,Runwal Elegante
1288,2.0,60000,888,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,5,Shapoorji Pallonji Vicinia
1289,1.0,19000,490,Super Area,Mumbai,Unfurnished,Both,1.0,0,other
1290,3.0,67500,937,Carpet Area,Mumbai,Unfurnished,Family,3.5,6,other
1291,2.0,30000,710,Carpet Area,Mumbai,Unfurnished,Family,2.0,6,other
1292,4.0,67500,1617,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,Auris Serenity
1293,2.0,67500,836,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1294,2.0,67500,1200,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,other
1295,2.0,65000,950,Carpet Area,Mumbai,Furnished,Both,2.0,6,other
1296,1.0,33000,460,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1297,1.0,36000,585,Super Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1298,2.0,22000,550,Carpet Area,Mumbai,Furnished,Family,2.0,2,other
1299,1.0,17000,375,Carpet Area,Mumbai,Unfurnished,Both,1.0,6,other
1300,2.0,55000,700,Carpet Area,Mumbai,Furnished,Both,2.0,6,other
1301,2.0,66000,750,Carpet Area,Mumbai,Unfurnished,Family,2.0,2,Sundar Nagar
1302,4.0,67500,2000,Carpet Area,Mumbai,Furnished,Family,3.5,6,DB Woods
1303,4.0,67500,2046,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,Oberoi Esquire
1304,2.0,32000,750,Super Area,Mumbai,Semi-Furnished,Both,2.0,3,other
1305,2.0,45000,730,Carpet Area,Mumbai,Unfurnished,Family,2.0,5,Raheja Heights
1306,2.0,50000,750,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Hillcrest
1307,1.0,18500,229,Super Area,Mumbai,Semi-Furnished,Both,1.0,5,other
1308,2.0,51000,910,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,6,other
1309,4.0,67500,1648,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,other
1310,3.0,67500,1100,Carpet Area,Mumbai,Unfurnished,Family,3.0,6,other
1311,1.0,30000,560,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,2,Ghatkopar East
1312,2.0,67500,850,Carpet Area,Mumbai,Unfurnished,Both,2.0,4,Andheri West
1313,1.0,15000,450,Super Area,Mumbai,Unfurnished,Family,1.0,2,Dahisar East
1314,2.0,50000,820,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Raheja Heights
1315,2.0,60000,750,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1316,1.0,23000,410,Carpet Area,Mumbai,Unfurnished,Both,1.0,4,other
1317,1.0,14500,490,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1318,2.0,40000,700,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1319,4.5,67500,2175,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,Khar West
1320,1.0,67500,560,Carpet Area,Mumbai,Furnished,Both,1.0,1,other
1321,2.0,55000,650,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1322,1.0,12000,520,Super Area,Mumbai,Semi-Furnished,Both,1.0,2,other
1323,2.0,45000,850,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1324,2.0,67500,777,Carpet Area,Mumbai,Furnished,Both,2.0,6,Hiranandani Castle Rock
1325,2.0,43000,771,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1326,1.0,22000,400,Carpet Area,Mumbai,Unfurnished,Both,1.0,3,other
1327,2.0,20000,600,Carpet Area,Mumbai,Furnished,Family,2.0,6,other
1328,1.0,26000,390,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,0,other
1329,4.0,67500,2175,Carpet Area,Mumbai,Furnished,Both,3.5,2,Breach Candy
1330,1.0,34999,450,Carpet Area,Mumbai,Furnished,Both,2.0,5,other
1331,1.0,35000,500,Super Area,Mumbai,Semi-Furnished,Both,2.0,6,Powai
1332,1.0,50000,410,Carpet Area,Mumbai,Semi-Furnished,Both,1.0,6,other
1333,1.0,16000,160,Carpet Area,Mumbai,Unfurnished,Both,1.0,2,other
1334,2.0,55000,750,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,Chandivali
1335,1.0,39000,585,Super Area,Mumbai,Unfurnished,Family,2.0,3,other
1336,3.0,67500,1300,Carpet Area,Mumbai,Semi-Furnished,Family,3.0,6,L&T Emerald Isle
1337,1.0,25000,350,Carpet Area,Mumbai,Furnished,Both,1.0,2,other
1338,1.0,25000,490,Super Area,Mumbai,Semi-Furnished,Both,2.0,3,other
1339,2.0,49500,650,Carpet Area,Mumbai,Unfurnished,Family,2.0,5,other
1340,1.0,21000,225,Carpet Area,Mumbai,Unfurnished,Both,1.0,6,Lower Parel
1341,2.0,67500,850,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,5,other
1342,1.0,21000,385,Super Area,Mumbai,Unfurnished,Both,1.0,0,other
1343,2.0,46700,800,Carpet Area,Mumbai,Unfurnished,Family,2.0,2,other
1344,4.0,67500,2175,Carpet Area,Mumbai,Furnished,Both,3.5,5,Bandra West
1345,4.0,67500,1526,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,Lodha Marquise
1346,1.0,18000,300,Super Area,Mumbai,Unfurnished,Both,1.0,3,other
1347,3.0,67500,1800,Super Area,Mumbai,Semi-Furnished,Both,3.0,6,other
1348,2.0,67500,800,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,5,other
1349,3.0,67500,890,Carpet Area,Mumbai,Furnished,Family,2.0,6,Oberoi Splendor
1350,2.0,38000,700,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1351,1.0,20000,465,Super Area,Mumbai,Semi-Furnished,Bachelors,1.0,3,other
1352,2.0,67500,900,Carpet Area,Mumbai,Furnished,Family,2.0,6,other
1353,3.0,67500,1073,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,other
1354,1.0,21000,450,Super Area,Mumbai,Unfurnished,Both,1.0,4,Chembur
1355,3.0,67500,1350,Carpet Area,Mumbai,Furnished,Both,3.0,6,other
1356,2.0,67500,800,Carpet Area,Mumbai,Furnished,Both,2.0,5,other
1357,2.0,34000,600,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,4,other
1358,2.0,55000,650,Carpet Area,Mumbai,Unfurnished,Both,2.0,5,other
1359,2.0,52000,550,Carpet Area,Mumbai,Furnished,Bachelors,2.0,3,other
1360,1.0,67500,840,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1361,3.0,67500,1121,Carpet Area,Mumbai,Furnished,Both,2.0,6,DB Woods
1362,2.0,45000,650,Carpet Area,Mumbai,Unfurnished,Both,2.0,2,other
1363,1.0,22000,575,Super Area,Mumbai,Unfurnished,Both,1.0,6,Kanjurmarg East
1364,1.0,32000,475,Super Area,Mumbai,Furnished,Both,1.0,3,Andheri East
1365,2.0,34000,830,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1366,3.0,67500,1337,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,other
1367,1.0,23000,420,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,5,other
1368,1.0,20000,310,Carpet Area,Mumbai,Unfurnished,Bachelors,1.0,0,Malad West
1369,3.0,67500,1800,Carpet Area,Mumbai,Furnished,Family,3.5,2,Khar West
1370,3.0,67500,967,Carpet Area,Mumbai,Furnished,Both,3.0,6,other
1371,1.0,55000,505,Carpet Area,Mumbai,Semi-Furnished,Both,1.0,4,Godrej The Trees
1372,1.0,15000,275,Super Area,Mumbai,Unfurnished,Both,1.0,3,Borivali East
1373,2.0,22000,640,Carpet Area,Mumbai,Semi-Furnished,Family,2.0,6,other
1374,3.0,60000,1500,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,other
1375,2.0,49000,850,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1376,2.0,34000,900,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1377,1.0,24000,430,Carpet Area,Mumbai,Furnished,Both,2.0,6,other
1378,4.0,67500,1649,Carpet Area,Mumbai,Semi-Furnished,Family,3.0,6,Adani Western Heights
1379,3.0,67500,1100,Carpet Area,Mumbai,Unfurnished,Both,3.0,6,Chandivali
1380,3.0,67500,1200,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,Worli
1381,2.0,32000,680,Carpet Area,Mumbai,Unfurnished,Family,2.0,5,other
1382,2.0,24000,600,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2.0,5,Charkop
1383,4.0,67500,1560,Carpet Area,Mumbai,Unfurnished,Both,3.5,6,diamond garden
1384,4.5,67500,2175,Carpet Area,Mumbai,Furnished,Bachelors,3.5,6,Bandra West
1385,2.0,45000,771,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1386,2.0,67500,800,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Hiranandani Castle Rock
1387,2.0,37000,800,Super Area,Mumbai,Semi-Furnished,Bachelors,2.0,5,other
1388,3.0,67500,1425,Carpet Area,Mumbai,Furnished,Bachelors,3.5,6,other
1389,4.0,67500,1750,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,5,Godrej The Trees
1390,1.0,25000,475,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,6,Ghatkopar East
1391,4.0,67500,2000,Carpet Area,Mumbai,Unfurnished,Bachelors,3.5,6,other
1392,3.0,67500,1375,Carpet Area,Mumbai,Semi-Furnished,Family,3.0,6,other
1393,4.5,67500,2175,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,other
1394,1.0,26000,650,Super Area,Mumbai,Semi-Furnished,Both,1.0,1,other
1395,2.0,27000,600,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,6,other
1396,1.0,26000,649,Super Area,Mumbai,Unfurnished,Both,1.0,3,other
1397,2.0,60000,950,Carpet Area,Mumbai,Furnished,Bachelors,2.0,2,other
1398,1.0,12000,225,Carpet Area,Mumbai,Unfurnished,Family,1.0,6,other
1399,2.0,67500,1000,Carpet Area,Mumbai,Furnished,Both,2.0,6,Malabar Hill
1400,1.0,30000,330,Carpet Area,Mumbai,Furnished,Family,1.0,6,Malad East
1401,3.0,67500,1200,Carpet Area,Mumbai,Furnished,Both,3.0,6,Khar West
1402,3.0,67500,1270,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3.0,6,other
1403,3.0,67500,920,Carpet Area,Mumbai,Unfurnished,Both,3.0,6,other
1404,2.0,20000,630,Carpet Area,Mumbai,Unfurnished,Family,2.0,4,other
1405,2.0,22000,670,Carpet Area,Mumbai,Furnished,Family,2.0,4,other
1406,1.0,32000,450,Super Area,Mumbai,Furnished,Both,1.0,1,Andheri West
1407,1.0,20000,265,Super Area,Mumbai,Unfurnished,Both,1.0,6,Mazgaon
1408,2.0,50000,600,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1409,2.0,29000,670,Carpet Area,Mumbai,Unfurnished,Family,2.0,6,other
1410,2.0,45000,650,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Chandivali
1411,1.0,6500,422,Carpet Area,Mumbai,Semi-Furnished,Family,2.0,6,other
1412,2.0,55000,955,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,other
1413,3.0,67500,1100,Carpet Area,Mumbai,Furnished,Both,3.0,6,other
1414,1.0,18500,300,Carpet Area,Mumbai,Unfurnished,Bachelors,1.0,3,other
1415,2.0,50000,900,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,5,other
1416,2.0,45000,785,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,2,other
1417,3.0,67500,1350,Carpet Area,Mumbai,Furnished,Family,3.0,6,HDIL Metropolis
1418,2.0,67500,900,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1419,1.0,25000,400,Carpet Area,Mumbai,Unfurnished,Bachelors,1.0,6,Worli
1420,2.0,67500,800,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3.0,6,other
1421,2.0,67500,895,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Indiabulls Blu
1422,1.0,20000,625,Super Area,Mumbai,Semi-Furnished,Both,1.0,6,Dahisar East
1423,2.0,30000,720,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,5,other
1424,2.0,67500,750,Carpet Area,Mumbai,Furnished,Both,2.0,4,other
1425,3.0,67500,1663,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Indiabulls Blu
1426,2.0,67500,660,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,0,other
1427,2.0,32000,700,Carpet Area,Mumbai,Furnished,Both,2.0,0,other
1428,1.0,22000,377,Super Area,Mumbai,Unfurnished,Both,2.0,3,other
1429,2.0,35000,650,Carpet Area,Mumbai,Semi-Furnished,Family,2.0,5,other
1430,2.0,47000,650,Carpet Area,Mumbai,Unfurnished,Both,2.0,5,other
1431,4.0,67500,2080,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,Indiabulls Blu
1432,2.0,31000,700,Super Area,Mumbai,Semi-Furnished,Both,2.0,2,other
1433,1.0,60000,430,Carpet Area,Mumbai,Furnished,Both,1.0,1,Bandra West
1434,2.0,58000,650,Carpet Area,Mumbai,Unfurnished,Family,2.0,6,L&T Emerald Isle
1435,3.0,67500,890,Carpet Area,Mumbai,Furnished,Both,2.0,4,Oberoi Splendor
1436,2.0,45000,965,Super Area,Mumbai,Unfurnished,Both,2.0,6,Bhakti Park
1437,1.0,7500,630,Super Area,Mumbai,Semi-Furnished,Both,2.0,3,other
1438,4.0,67500,2100,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,Bombay Dyeing Two ICC
1439,3.0,67500,1100,Carpet Area,Mumbai,Furnished,Family,3.0,6,other
1440,2.0,67500,730,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,4,other
1441,3.0,67500,1380,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,other
1442,3.0,66000,1100,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,Shapoorji Pallonji Vicinia
1443,1.0,45000,450,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1.0,5,Mahim West
1444,1.0,22000,500,Super Area,Mumbai,Unfurnished,Both,1.0,3,other
1445,3.0,65000,1100,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3.0,6,Raheja Heights
1446,3.0,55000,868,Carpet Area,Mumbai,Unfurnished,Family,3.0,6,other
1447,2.0,55000,750,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1448,1.0,36000,540,Super Area,Mumbai,Unfurnished,Both,2.0,2,other
1449,4.0,67500,2100,Carpet Area,Mumbai,Furnished,Family,3.5,6,other
1450,1.0,22000,450,Carpet Area,Mumbai,Semi-Furnished,Family,2.0,4,other
1451,3.0,67500,1600,Carpet Area,Mumbai,Semi-Furnished,Family,3.5,6,other
1452,1.0,34000,560,Super Area,Mumbai,Semi-Furnished,Bachelors,2.0,3,other
1453,1.0,45000,500,Carpet Area,Mumbai,Unfurnished,Bachelors,1.0,2,Irla
1454,1.0,14000,305,Carpet Area,Mumbai,Unfurnished,Both,1.0,2,Kandivali West
1455,3.0,67500,970,Carpet Area,Mumbai,Furnished,Both,2.0,1,other
1456,1.0,7000,480,Carpet Area,Mumbai,Unfurnished,Both,1.0,4,other
1457,2.0,55000,720,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,1,diamond garden
1458,2.0,55000,950,Carpet Area,Mumbai,Semi-Furnished,Family,2.0,6,other
1459,4.0,67500,2175,Carpet Area,Mumbai,Furnished,Both,3.5,6,other
1460,3.0,67500,1450,Carpet Area,Mumbai,Furnished,Family,3.0,6,other
1461,2.0,42000,774,Carpet Area,Mumbai,Semi-Furnished,Family,2.0,6,other
1462,1.0,27000,450,Super Area,Mumbai,Unfurnished,Family,1.0,2,Andheri West
1463,3.0,60000,1000,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3.0,1,Malad West
1464,1.0,17000,340,Super Area,Mumbai,Semi-Furnished,Both,1.0,1,other
1465,1.0,30000,430,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1466,2.0,45000,722,Carpet Area,Mumbai,Unfurnished,Both,2.0,4,other
1467,3.0,67500,1152,Carpet Area,Mumbai,Furnished,Both,2.0,6,other
1468,1.0,25000,641,Super Area,Mumbai,Unfurnished,Both,1.0,3,Borivali West
1469,2.0,67500,810,Carpet Area,Mumbai,Furnished,Both,2.0,4,other
1470,2.0,67500,800,Carpet Area,Mumbai,Furnished,Family,2.0,5,Vile Parle West
1471,2.0,67500,875,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,Bandra West
1472,2.0,20000,700,Super Area,Mumbai,Unfurnished,Family,2.0,6,Man Opus
1473,1.0,35000,420,Super Area,Mumbai,Semi-Furnished,Both,1.0,0,other
1474,3.0,67500,1400,Carpet Area,Mumbai,Furnished,Both,3.0,1,other
1475,2.0,54500,758,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,L&T Emerald Isle
1476,4.0,67500,2175,Carpet Area,Mumbai,Unfurnished,Bachelors,3.5,6,Lodha World Crest
1477,1.0,45000,480,Carpet Area,Mumbai,Furnished,Both,2.0,6,Seven Bungalows
1478,1.0,38000,550,Carpet Area,Mumbai,Unfurnished,Bachelors,2.0,6,Sion East
1479,2.0,67500,900,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2.0,6,other
1480,1.0,22000,400,Super Area,Mumbai,Unfurnished,Both,1.0,6,other
1481,2.0,67500,760,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,L&T Emerald Isle
1482,4.0,67500,2175,Carpet Area,Mumbai,Unfurnished,Bachelors,3.5,6,other
1483,1.0,50000,400,Carpet Area,Mumbai,Semi-Furnished,Both,1.0,6,Hiranandani Regent Hill
1484,4.0,67500,1962,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,Khar West
1485,3.0,67500,1100,Carpet Area,Mumbai,Semi-Furnished,Both,3.0,6,other
1486,2.0,40000,800,Super Area,Mumbai,Semi-Furnished,Both,2.0,1,other
1487,2.0,32000,590,Carpet Area,Mumbai,Unfurnished,Family,2.0,6,other
1488,2.0,67500,600,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,Andheri West
1489,4.0,67500,2175,Carpet Area,Mumbai,Semi-Furnished,Both,3.5,6,Bombay Dyeing Two ICC
1490,2.0,45000,670,Carpet Area,Mumbai,Unfurnished,Both,2.0,6,Chembur
1491,2.0,65000,960,Carpet Area,Mumbai,Semi-Furnished,Both,2.0,6,other
1492,2.0,65000,1500,Super Area,Mumbai,Semi-Furnished,Both,3.0,4,other
1493,1.0,35000,500,Super Area,Mumbai,Semi-Furnished,Both,1.0,1,Ghatkopar West
1494,3.0,67500,1120,Carpet Area,Mumbai,Furnished,Family,2.0,6,DB Woods
1495,4.0,67500,2175,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3.5,6,L&T Emerald Isle
1496,3.0,67500,2175,Carpet Area,Bangalore,Furnished,Both,3.0,0,other
1497,2.0,10500,800,Super Area,Bangalore,Semi-Furnished,Both,2.0,3,other
1498,2.0,13000,1000,Super Area,Bangalore,Semi-Furnished,Both,2.0,0,Kattigenahalli
1499,2.0,17000,1040,Super Area,Bangalore,Furnished,Both,2.0,4,C V Raman Nagar
1500,3.0,21000,1403,Super Area,Bangalore,Semi-Furnished,Both,3.0,1,Chikkalasandra
1501,2.0,10000,600,Super Area,Bangalore,Furnished,Both,1.0,3,other
1502,4.0,61500,2175,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3.0,1,Malleshwaram
1503,2.0,13000,850,Carpet Area,Bangalore,Semi-Furnished,Family,2.0,1,other
1504,1.0,7500,400,Super Area,Bangalore,Unfurnished,Both,1.0,1,Rajajinagar
1505,2.0,17000,1000,Super Area,Bangalore,Semi-Furnished,Both,2.0,3,Padmanabha Nagar
1506,3.0,25000,1350,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3.0,5,other
1507,2.0,10500,800,Carpet Area,Bangalore,Semi-Furnished,Both,2.0,1,Ramamurthy Nagar
1508,1.0,8000,350,Super Area,Bangalore,Semi-Furnished,Both,1.0,3,Thanisandra
1509,1.0,9500,900,Super Area,Bangalore,Semi-Furnished,Both,1.0,0,J P Nagar
1510,3.0,50000,2000,Carpet Area,Bangalore,Semi-Furnished,Both,3.0,1,Bannerghatta Main Road
1511,2.0,13000,700,Super Area,Bangalore,Semi-Furnished,Both,2.0,1,other
